"시설번호","년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","선풍기보유대수","에어컨보유대수","야간개방","휴일개방","숙박가능여부","입력시간","수정시간","사용여부","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"11290209","2022","1129072500","001","동덕경로당","서울특별시 성북구 장월로1마길 27-6","21-23","63","25","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.042730","37.605564","203773.076041","556221.315760"
"11290214","2022","1129076000","001","장곡향나무경로당","서울특별시 성북구 장월로23길 47-20","223-22","66","30","5","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.046226","37.616808","204081.170058","557469.401707"
"11290206","2022","1129072500","001","샹그레빌(아)경로당","서울특별시 성북구 회기로5길 100","224-0","125","50","5","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.041450","37.596435","203660.533547","555208.091402"
"11290207","2022","1129072500","001","월곡2동경로당","서울특별시 성북구 화랑로5길 8","96-175","158","50","5","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.039078","37.602993","203450.711381","555935.844730"
"11290208","2022","1129072500","001","월곡2에스에이치빌(아)경로당","서울특별시 성북구 회기로5길 142","226-1","75","20","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.042095","37.597707","203717.378284","555349.250167"
"11290006","2022","1129052500","001","북정경로당","서울특별시 성북구 성북로23길 129-5","224-146","40","50","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","126.991413","37.592669","199241.630074","554789.301059"
"11290007","2022","1129052500","001","동소문동 경로당","서울특별시 성북구 동소문로13길 39-20","279-0","120","22","2","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.011002","37.592918","200971.632289","554816.959507"
"11290020","2022","1129055500","001","삼선푸르지오(아)경로당","서울특별시 성북구 보문로29다길 31","425-0","110","25","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.012635","37.584159","201116.035688","553844.783191"
"11290021","2022","1129055500","001","한성경로당","서울특별시 성북구 삼선교로4길 186","308-12","99","23","4","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.010104","37.580530","200892.490297","553442.022936"
"11290028","2022","1129057500","001","동선동제1경로당","서울특별시 성북구 동소문로28길 40","40-4","108","51","4","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.020716","37.595696","201829.481207","555125.431301"
"11290029","2022","1129057500","001","동선동제2경로당","서울특별시 성북구 아리랑로 27-3","239-0","76","31","4","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.015586","37.595275","201376.445968","555078.617440"
"11290004","2022","1129052500","001","성북동 경로당","서울특별시 성북구 성북로 41-12","186-11","141","23","4","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.002682","37.591427","200236.867584","554651.421719"
"11290005","2022","1129052500","001","성암 경로당","서울특별시 성북구 성북로16길 14-3","57-4","85","23","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.000280","37.594202","200024.727987","554959.412255"
"11290125","2022","1129065000","001","정릉풍림아이원(아)경로당","서울특별시 성북구 솔샘로25길 28","239-0","122","30","4","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.007398","37.617543","200653.109311","557549.977455"
"11290126","2022","1129065000","001","정릉피오레1차경로당","서울특별시 성북구 보국문로 183","1024-0","73","25","4","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.000838","37.617310","200073.975613","557524.135950"
